Ua1,Ub1,Uc1,Ua2,Ub2,Uc2,Ua3,Ub3,Uc3,Ia1,Ib1,Ic1,Ia2,Ib2,Ic2,Ia3,Ib3,Ic3,Ia4,Ib4,Ic4,Ia5,Ib5,Ic5,fault,line,position
63.509,63.509,63.509,62.601,62.601,62.601,61.391,61.391,61.391,0.091,0.091,0.091,0.091,0.091,0.091,0.165,0.165,0.165,0.165,0.165,0.165,0.214,0.214,0.214,no fault,,
63.509,63.509,63.509,62.601,62.601,62.601,61.388,61.388,61.388,0.091,0.091,0.091,0.091,0.091,0.091,0.166,0.166,0.166,0.166,0.166,0.166,0.214,0.214,0.214,no fault,,
63.509,63.509,63.509,62.6,62.6,62.6,61.385,61.385,61.385,0.091,0.091,0.091,0.091,0.091,0.091,0.166,0.166,0.166,0.166,0.166,0.166,0.214,0.214,0.214,no fault,,
63.509,63.509,63.509,62.6,62.6,62.6,61.382,61.382,61.382,0.091,0.091,0.091,0.091,0.091,0.091,0.166,0.166,0.166,0.166,0.166,0.166,0.214,0.214,0.214,no fault,,
63.509,63.509,63.509,62.6,62.6,62.6,61.379,61.379,61.379,0.091,0.091,0.091,0.091,0.091,0.091,0.166,0.166,0.166,0.166,0.166,0.166,0.215,0.215,0.215,no fault,,
63.509,63.509,63.509,62.6,62.6,62.6,61.376,61.376,61.376,0.091,0.091,0.091,0.091,0.091,0.091,0.166,0.166,0.166,0.166,0.166,0.166,0.215,0.215,0.215,no fault,,
63.509,63.509,63.509,62.599,62.599,62.599,61.373,61.373,61.373,0.092,0.092,0.092,0.092,0.092,0.092,0.166,0.166,0.166,0.166,0.166,0.166,0.215,0.215,0.215,no fault,,
63.509,63.509,63.509,62.599,62.599,62.599,61.37,61.37,61.37,0.092,0.092,0.092,0.092,0.092,0.092,0.166,0.166,0.166,0.166,0.166,0.166,0.216,0.216,0.216,no fault,,
63.509,63.509,63.509,62.599,62.599,62.599,61.367,61.367,61.367,0.092,0.092,0.092,0.092,0.092,0.092,0.166,0.166,0.166,0.166,0.166,0.166,0.216,0.216,0.216,no fault,,
63.509,63.509,63.509,62.599,62.599,62.599,61.364,61.364,61.364,0.092,0.092,0.092,0.092,0.092,0.092,0.166,0.166,0.166,0.166,0.166,0.166,0.216,0.216,0.216,no fault,,
63.509,63.509,63.509,62.599,62.599,62.599,61.361,61.361,61.361,0.092,0.092,0.092,0.092,0.092,0.092,0.166,0.166,0.166,0.166,0.166,0.166,0.217,0.217,0.217,no fault,,
63.509,63.509,63.509,62.598,62.598,62.598,61.358,61.358,61.358,0.092,0.092,0.092,0.092,0.092,0.092,0.166,0.166,0.166,0.166,0.166,0.166,0.217,0.217,0.217,no fault,,
63.509,63.509,63.509,62.598,62.598,62.598,61.355,61.355,61.355,0.093,0.093,0.093,0.093,0.093,0.093,0.167,0.167,0.167,0.167,0.167,0.167,0.217,0.217,0.217,no fault,,
63.509,63.509,63.509,62.598,62.598,62.598,61.352,61.352,61.352,0.093,0.093,0.093,0.093,0.093,0.093,0.167,0.167,0.167,0.167,0.167,0.167,0.218,0.218,0.218,no fault,,
63.509,63.509,63.509,62.598,62.598,62.598,61.349,61.349,61.349,0.093,0.093,0.093,0.093,0.093,0.093,0.167,0.167,0.167,0.167,0.167,0.167,0.218,0.218,0.218,no fault,,
63.509,63.509,63.509,62.598,62.598,62.598,61.346,61.346,61.346,0.093,0.093,0.093,0.093,0.093,0.093,0.167,0.167,0.167,0.167,0.167,0.167,0.218,0.218,0.218,no fault,,
63.509,63.509,63.509,62.597,62.597,62.597,61.343,61.343,61.343,0.093,0.093,0.093,0.093,0.093,0.093,0.167,0.167,0.167,0.167,0.167,0.167,0.219,0.219,0.219,no fault,,
63.509,63.509,63.509,62.597,62.597,62.597,61.34,61.34,61.34,0.094,0.094,0.094,0.094,0.094,0.094,0.167,0.167,0.167,0.167,0.167,0.167,0.219,0.219,0.219,no fault,,
63.509,63.509,63.509,62.597,62.597,62.597,61.337,61.337,61.337,0.094,0.094,0.094,0.094,0.094,0.094,0.167,0.167,0.167,0.167,0.167,0.167,0.219,0.219,0.219,no fault,,
63.509,63.509,63.509,62.597,62.597,62.597,61.334,61.334,61.334,0.094,0.094,0.094,0.094,0.094,0.094,0.167,0.167,0.167,0.167,0.167,0.167,0.219,0.219,0.219,no fault,,
63.509,63.509,63.509,62.597,62.597,62.597,61.33,61.33,61.33,0.094,0.094,0.094,0.094,0.094,0.094,0.167,0.167,0.167,0.167,0.167,0.167,0.22,0.22,0.22,no fault,,
63.509,63.509,63.509,62.596,62.596,62.596,61.327,61.327,61.327,0.094,0.094,0.094,0.094,0.094,0.094,0.167,0.167,0.167,0.167,0.167,0.167,0.22,0.22,0.22,no fault,,
63.509,63.509,63.509,62.596,62.596,62.596,61.324,61.324,61.324,0.094,0.094,0.094,0.094,0.094,0.094,0.168,0.168,0.168,0.168,0.168,0.168,0.22,0.22,0.22,no fault,,
63.509,63.509,63.509,62.596,62.596,62.596,61.321,61.321,61.321,0.095,0.095,0.095,0.095,0.095,0.095,0.168,0.168,0.168,0.168,0.168,0.168,0.221,0.221,0.221,no fault,,
63.509,63.509,63.509,62.596,62.596,62.596,61.318,61.318,61.318,0.095,0.095,0.095,0.095,0.095,0.095,0.168,0.168,0.168,0.168,0.168,0.168,0.221,0.221,0.221,no fault,,
63.509,63.509,63.509,62.596,62.596,62.596,61.315,61.315,61.315,0.095,0.095,0.095,0.095,0.095,0.095,0.168,0.168,0.168,0.168,0.168,0.168,0.221,0.221,0.221,no fault,,
63.509,63.509,63.509,62.595,62.595,62.595,61.312,61.312,61.312,0.095,0.095,0.095,0.095,0.095,0.095,0.168,0.168,0.168,0.168,0.168,0.168,0.222,0.222,0.222,no fault,,
63.509,63.509,63.509,62.595,62.595,62.595,61.309,61.309,61.309,0.095,0.095,0.095,0.095,0.095,0.095,0.168,0.168,0.168,0.168,0.168,0.168,0.222,0.222,0.222,no fault,,
63.509,63.509,63.509,62.595,62.595,62.595,61.306,61.306,61.306,0.095,0.095,0.095,0.095,0.095,0.095,0.168,0.168,0.168,0.168,0.168,0.168,0.222,0.222,0.222,no fault,,
63.509,63.509,63.509,62.595,62.595,62.595,61.303,61.303,61.303,0.096,0.096,0.096,0.096,0.096,0.096,0.168,0.168,0.168,0.168,0.168,0.168,0.223,0.223,0.223,no fault,,
63.509,63.509,63.509,62.595,62.595,62.595,61.3,61.3,61.3,0.096,0.096,0.096,0.096,0.096,0.096,0.168,0.168,0.168,0.168,0.168,0.168,0.223,0.223,0.223,no fault,,
63.509,63.509,63.509,62.594,62.594,62.594,61.297,61.297,61.297,0.096,0.096,0.096,0.096,0.096,0.096,0.168,0.168,0.168,0.168,0.168,0.168,0.223,0.223,0.223,no fault,,
63.509,63.509,63.509,62.594,62.594,62.594,61.294,61.294,61.294,0.096,0.096,0.096,0.096,0.096,0.096,0.169,0.169,0.169,0.169,0.169,0.169,0.224,0.224,0.224,no fault,,
63.509,63.509,63.509,62.594,62.594,62.594,61.291,61.291,61.291,0.096,0.096,0.096,0.096,0.096,0.096,0.169,0.169,0.169,0.169,0.169,0.169,0.224,0.224,0.224,no fault,,
63.509,63.509,63.509,62.594,62.594,62.594,61.288,61.288,61.288,0.096,0.096,0.096,0.096,0.096,0.096,0.169,0.169,0.169,0.169,0.169,0.169,0.224,0.224,0.224,no fault,,
63.509,63.509,63.509,62.594,62.594,62.594,61.285,61.285,61.285,0.097,0.097,0.097,0.097,0.097,0.097,0.169,0.169,0.169,0.169,0.169,0.169,0.225,0.225,0.225,no fault,,
63.509,63.509,63.509,62.593,62.593,62.593,61.282,61.282,61.282,0.097,0.097,0.097,0.097,0.097,0.097,0.169,0.169,0.169,0.169,0.169,0.169,0.225,0.225,0.225,no fault,,
63.509,63.509,63.509,62.593,62.593,62.593,61.279,61.279,61.279,0.097,0.097,0.097,0.097,0.097,0.097,0.169,0.169,0.169,0.169,0.169,0.169,0.225,0.225,0.225,no fault,,
63.509,63.509,63.509,62.593,62.593,62.593,61.276,61.276,61.276,0.097,0.097,0.097,0.097,0.097,0.097,0.169,0.169,0.169,0.169,0.169,0.169,0.225,0.225,0.225,no fault,,
63.509,63.509,63.509,62.593,62.593,62.593,61.273,61.273,61.273,0.097,0.097,0.097,0.097,0.097,0.097,0.169,0.169,0.169,0.169,0.169,0.169,0.226,0.226,0.226,no fault,,
63.509,63.509,63.509,62.593,62.593,62.593,61.27,61.27,61.27,0.098,0.098,0.098,0.098,0.098,0.098,0.169,0.169,0.169,0.169,0.169,0.169,0.226,0.226,0.226,no fault,,
63.509,63.509,63.509,62.592,62.592,62.592,61.267,61.267,61.267,0.098,0.098,0.098,0.098,0.098,0.098,0.169,0.169,0.169,0.169,0.169,0.169,0.226,0.226,0.226,no fault,,
63.509,63.509,63.509,62.592,62.592,62.592,61.264,61.264,61.264,0.098,0.098,0.098,0.098,0.098,0.098,0.169,0.169,0.169,0.169,0.169,0.169,0.227,0.227,0.227,no fault,,
63.509,63.509,63.509,62.592,62.592,62.592,61.26,61.26,61.26,0.098,0.098,0.098,0.098,0.098,0.098,0.17,0.17,0.17,0.17,0.17,0.17,0.227,0.227,0.227,no fault,,
63.509,63.509,63.509,62.592,62.592,62.592,61.257,61.257,61.257,0.098,0.098,0.098,0.098,0.098,0.098,0.17,0.17,0.17,0.17,0.17,0.17,0.227,0.227,0.227,no fault,,
63.509,63.509,63.509,62.592,62.592,62.592,61.254,61.254,61.254,0.098,0.098,0.098,0.098,0.098,0.098,0.17,0.17,0.17,0.17,0.17,0.17,0.228,0.228,0.228,no fault,,
